2014.399193,47769.354715,0.000000,0.000000,0.000000,12081.902926
2016.633593,15176.085421,10627.755571,9616.390911,10229.134000,10156.141377
1953.290382,10461.284348,11776.035282,10655.397359,11392.546019,11333.284599
2104.320686,15091.153398,14076.142362,12736.620311,13877.178612,13822.879302
1997.685285,10216.136386,10291.821522,9312.425213,9262.316857,9218.312319
1888.542023,10769.815016,11502.271430,10407.685582,11367.368722,11334.802043
1994.564596,10961.285465,8837.897081,7996.859976,9182.912132,9132.497099
1992.525751,12006.495989,9671.943176,8751.536091,10151.642085,10130.209111
1899.901817,8561.040947,12073.171840,10924.257635,12554.569777,12503.173418
1905.067110,15672.997505,9403.666003,8508.788867,10105.410059,10080.910257
1977.070043,10235.487469,9884.120674,8943.522231,9921.908396,9885.768148
1894.336187,10179.044122,10742.761169,9720.452278,10754.131193,10724.154533
2103.586932,12117.625476,12955.983374,11723.058544,12930.068315,12905.331380
1971.284792,11866.201415,14910.269477,13491.369736,14727.268582,14714.412280
2088.479756,13200.031609,7970.452396,7211.963567,9291.388041,9226.445816
1815.863207,14649.971176,11572.125952,10470.892568,11130.545191,11131.244480
1730.561194,16377.326559,9411.819636,8516.166578,8954.734424,8933.705740
2066.891364,12539.644629,9375.350908,8483.168309,8455.650989,8437.213274
1937.961573,11788.922279,9308.766717,8422.920441,8795.747338,8790.029990
1987.737845,10498.772356,9124.394509,8256.093569,10550.048191,10543.197968
2183.068965,14478.291570,11699.163718,10585.841092,12004.950397,11988.164177
2005.678334,13768.770240,10737.066190,9715.299248,11241.163772,11216.514607
2184.466368,14232.514551,11731.300157,10614.919345,11575.243413,11541.525066
2203.893965,13240.914281,8584.032308,7767.153630,9360.931316,9316.112958
1951.114336,12222.804148,11190.443679,10125.532166,11492.772567,11466.898633
1983.196947,11080.721612,11946.342646,10809.497834,12839.727755,12759.025995
2101.919388,16091.075304,9509.376110,8604.439327,8824.146700,8805.244486
2079.736074,9849.034174,13814.767908,12500.118924,14580.336763,14541.766097
1970.271277,15291.428438,8670.272259,7845.186764,8109.292931,8095.434206
2008.997019,13451.000946,9092.529060,8227.260518,9688.279893,9686.009503
1914.199520,10214.388405,10229.332173,9255.882512,10022.753455,10018.097284
1878.611409,13240.031835,9943.246413,8997.021411,9908.757807,9884.812572
2035.514218,13433.025068,10313.433259,9331.980321,11118.879156,11045.669394
1917.321544,11710.906549,9961.119194,9013.193373,9516.790250,9513.576684
2004.540749,14558.310042,9961.134450,9013.207176,10137.822655,10107.684093
1906.293789,12286.850349,10323.392402,9340.991727,10962.060747,10953.475714
1879.112007,13729.870041,10430.173060,9437.610861,9556.055872,9522.219069
1952.645632,9586.499233,14696.046563,13297.532828,14251.389591,14229.961962
1985.027662,14120.615928,9105.321296,8238.835411,9163.337423,9130.798483
1922.979709,14297.735202,11241.436134,10171.672046,12246.173518,12235.913591
1997.949908,13970.514218,10975.135798,9930.713538,9967.586647,9960.057466
2024.144031,12601.429962,9847.699275,8910.566786,9391.373493,9379.962170
2133.198662,14359.562932,7434.881190,6727.358700,9013.398449,8939.906937
1937.870809,13872.357119,8615.884274,7795.974481,8938.844259,8932.260456
1858.966086,14905.765947,8747.913515,7915.439478,8786.673186,8759.409445
2051.808661,12095.702046,12567.514826,11371.557667,12626.099378,12623.723251
2058.166785,10784.634306,9771.593442,8841.703380,9891.148248,9878.746604
1855.442567,13358.250682,10931.254395,9891.008002,10986.672555,10969.643795
1914.138889,15065.323025,10035.420479,9080.423955,10056.741323,10035.990989
1970.167406,12335.660133,11954.951950,10817.287855,11455.823065,11414.328220
1966.013332,13112.212504,10054.787046,9097.947550,10230.121191,10224.497278
2046.412299,12281.410165,11752.404972,10634.015771,12188.152544,12168.317470
1963.415774,9972.399490,8737.134732,7905.686432,8543.512606,8494.058949
1738.797007,12094.814659,8308.373146,7517.726905,8288.042375,8266.895621
1870.644051,13332.761919,11700.052918,10586.645673,11285.512185,11246.758751
1784.183964,10293.429213,9433.550142,8535.829154,8728.589237,8655.006501
1928.004759,14528.431803,13589.835797,12296.591934,13028.150252,12999.500059
2085.463618,13926.494300,9314.036122,8427.688396,9322.920032,9248.842255
1948.903611,12790.174690,11308.125846,10232.015393,11105.601342,10985.947718
1867.005556,12256.263884,13571.717099,12280.197458,15411.112829,15369.855677
2159.414665,9535.387269,13190.367420,11935.138000,13458.918801,13424.341403
2136.794730,13587.785658,12380.240506,11202.104854,10611.645977,10556.947651
1957.834601,14252.521446,10311.554638,9330.280474,9646.146449,9637.264949
2081.683940,13045.359995,7981.777580,7222.211017,8747.809058,8722.742595
1924.354450,13364.781997,11304.738191,10228.950117,11497.983968,11488.792228
1861.120006,12737.691373,11664.549868,10554.521185,12437.830981,12365.544583
1979.562183,14003.446665,9838.658531,8902.386382,9209.986286,9184.648175
1912.304891,14607.809562,10324.481284,9341.976987,11280.163085,11237.767220
2063.731363,9175.108722,10980.304848,9935.390688,10991.062921,10932.413666
1984.375216,14519.502143,13113.504419,11865.589480,14984.527891,14983.555219
1982.983535,13206.618510,7581.732022,6860.234827,7040.086509,6991.345826
1792.690277,14346.092794,10985.921820,9940.473134,11345.629052,11343.989531
1988.113839,12131.233322,9735.604527,8809.139263,10827.403283,10776.071784
1901.124204,12068.403109,10890.139051,9853.805301,10766.455866,10741.084249
1747.884858,13643.473197,13133.312953,11883.512983,13697.330148,13664.658385
2048.925409,15472.794809,8358.549286,7563.128154,9230.060319,9203.090905
2030.089590,13263.907308,11592.064090,10488.933341,11831.869110,11820.044978
1862.130492,14272.783601,8897.004357,8050.342451,8674.323994,8607.432940
2002.919445,14621.898479,9016.774944,8158.715360,8822.032938,8803.597575
1996.584062,12035.661516,10756.305303,9732.707518,10664.012962,10612.128793
1978.071293,11922.780405,10831.985964,9801.186212,12007.715830,11947.314740
1910.062895,10557.818429,10997.606126,9951.045531,10698.460876,10668.635270
1829.442976,11293.466576,10300.762223,9320.515094,10273.338111,10262.706934
